team,PJ,PG,PE,PP,GF,GC,DG,PTS,H2H_PTS,H2H_DG,H2H_GF,group,position
Mexico,3,3,0,0,5,0,5,9,0,0,0,A,1
South Korea,3,2,0,1,4,3,1,6,0,0,0,A,2
Czechia,3,0,1,2,2,5,-3,1,1,0,1,A,3
South Africa,3,0,1,2,2,5,-3,1,1,0,1,A,4
Canada,3,2,1,0,9,2,7,7,0,0,0,B,1
Switzerland,3,1,1,1,6,4,2,4,3,3,4,B,2
Bosnia and Herzegovina,3,1,1,1,4,6,-2,4,0,-3,1,B,3
Qatar,3,0,1,2,2,9,-7,1,0,0,0,B,4
Brazil,3,2,1,0,6,2,4,7,1,0,1,C,1
Morocco,3,2,1,0,4,2,2,7,1,0,1,C,2
Scotland,3,1,0,2,2,3,-1,3,0,0,0,C,3
Haiti,3,0,0,3,1,6,-5,0,0,0,0,C,4
United States,3,3,0,0,8,2,6,9,0,0,0,D,1
Australia,3,2,0,1,4,3,1,6,0,0,0,D,2
Paraguay,3,1,0,2,3,6,-3,3,0,0,0,D,3
Turkey,3,0,0,3,1,5,-4,0,0,0,0,D,4
Germany,3,3,0,0,11,3,8,9,0,0,0,E,1
Ivory Coast,3,2,0,1,4,3,1,6,0,0,0,E,2
Ecuador,3,0,1,2,1,3,-2,1,1,0,0,E,3
Curaçao,3,0,1,2,2,9,-7,1,1,0,0,E,4
Netherlands,3,2,1,0,9,3,6,7,1,0,2,F,1
Japan,3,2,1,0,8,3,5,7,1,0,2,F,2
Sweden,3,1,0,2,7,8,-1,3,0,0,0,F,3
Tunisia,3,0,0,3,1,11,-10,0,0,0,0,F,4
Egypt,3,1,2,0,5,3,2,5,1,0,1,G,1
Belgium,3,1,2,0,3,1,2,5,1,0,1,G,2
Iran,3,0,3,0,3,3,0,3,0,0,0,G,3
New Zealand,3,0,1,2,3,7,-4,1,0,0,0,G,4
Spain,3,2,1,0,6,1,5,7,0,0,0,H,1
Cape Verde,3,1,2,0,4,3,1,5,0,0,0,H,2
Uruguay,3,0,2,1,4,5,-1,2,0,0,0,H,3
Saudi Arabia,3,0,1,2,2,7,-5,1,0,0,0,H,4
France,3,3,0,0,7,2,5,9,0,0,0,I,1
Norway,3,2,0,1,7,4,3,6,0,0,0,I,2
Senegal,3,1,0,2,4,6,-2,3,0,0,0,I,3
Iraq,3,0,0,3,2,8,-6,0,0,0,0,I,4
Argentina,3,3,0,0,7,0,7,9,0,0,0,J,1
Austria,3,1,1,1,4,4,0,4,1,0,1,J,2
Algeria,3,1,1,1,3,5,-2,4,1,0,1,J,3
Jordan,3,0,0,3,2,7,-5,0,0,0,0,J,4
Colombia,3,3,0,0,7,3,4,9,0,0,0,K,1
Portugal,3,1,1,1,4,4,0,4,1,0,1,K,2
DR Congo,3,1,1,1,4,4,0,4,1,0,1,K,3
Uzbekistan,3,0,0,3,3,7,-4,0,0,0,0,K,4
England,3,3,0,0,8,2,6,9,0,0,0,L,1
Croatia,3,2,0,1,6,6,0,6,0,0,0,L,2
Ghana,3,1,0,2,2,4,-2,3,0,0,0,L,3
Panama,3,0,0,3,1,5,-4,0,0,0,0,L,4
