team_1,team_2,winner,loser,resolution
Czechia,Switzerland,Czechia,Switzerland,Regular Time
Ecuador,Scotland,Scotland,Ecuador,Regular Time
Japan,Morocco,Japan,Morocco,Regular Time
Brazil,Netherlands,Netherlands,Brazil,Regular Time
France,Sweden,France,Sweden,Regular Time
Germany,Norway,Germany,Norway,Regular Time
Mexico,Senegal,Mexico,Senegal,Extra Time
Croatia,DR Congo,Croatia,DR Congo,Regular Time
United States,Bosnia and Herzegovina,Bosnia and Herzegovina,United States,Regular Time
Belgium,Algeria,Belgium,Algeria,Regular Time
Portugal,England,England,Portugal,Regular Time
Spain,Algeria,Spain,Algeria,Regular Time
Canada,Iran,Canada,Iran,Regular Time
Argentina,Uruguay,Argentina,Uruguay,Regular Time
Colombia,Ghana,Colombia,Ghana,Extra Time
Turkey,Iran,Turkey,Iran,Regular Time
