country_code,points,goal_difference,goals_for,goals_against,form_score
AD,4,-4,2,6,1.6
AF,3,-8,3,11,-0.3
AI,3,-2,3,5,1.5
AL,0,-4,1,5,-1.2
AM,2,-1,3,4,1.1
AO,4,3,4,1,3.7
AR,15,15,15,0,15.0
AS,0,-9,2,11,-2.7
AT,12,6,10,4,10.2
AU,7,3,8,5,5.8
AW,6,2,8,6,4.8
AZ,7,4,9,5,6.1
BA,6,-1,6,7,3.9
BB,0,-3,3,6,-0.9
BD,3,-3,2,5,1.2
BE,9,7,9,2,8.4
BF,5,2,8,6,4.1
BG,7,8,13,5,7.3
BH,0,-2,0,2,-0.6
BI,6,3,8,5,5.1
BJ,7,-2,4,6,4.3
BM,0,-5,0,5,-1.5
BN,0,-6,2,8,-1.8
BO,6,-5,6,11,2.7
BQ,3,-3,3,6,1.2
BR,13,11,15,4,12.4
BS,0,-3,1,4,-0.9
BT,3,-6,3,9,0.3
BW,3,-2,1,3,1.5
BY,10,5,9,4,8.5
BZ,0,-3,3,6,-0.9
CA,8,7,11,4,7.7
CD,5,-1,3,4,3.2
CF,1,-3,1,4,-0.2
CH,11,7,12,5,9.8
CI,12,6,9,3,10.2
CL,6,-1,8,9,3.9
CM,3,1,2,1,2.4
CN,7,1,4,3,5.2
CO,12,5,10,5,9.9
CR,1,-10,3,13,-2.3
CU,2,0,3,3,1.4
CV,9,6,9,3,8.1
CW,4,-9,7,16,0.1
CY,7,2,6,4,5.5
CZ,7,-1,7,8,4.6
DE,15,13,17,4,14.4
DJ,3,-3,1,4,1.2
DK,8,5,8,3,7.1
DM,1,-2,0,2,0.1
DO,2,-2,5,7,0.8
DZ,10,3,7,4,7.9
EC,8,3,6,3,6.5
EE,7,0,3,3,4.9
EG,8,2,6,4,6.2
EI,4,-3,3,6,1.9
EN,10,5,8,3,8.5
ER,6,3,4,1,5.1
ES,9,6,8,2,8.1
ET,10,5,6,1,8.5
FI,4,-3,4,7,1.9
FJ,1,-1,3,4,0.4
FO,6,1,3,2,4.5
FR,12,8,13,5,10.8
GA,1,-2,3,5,0.1
GD,0,-12,0,12,-3.6
GE,8,4,7,3,6.8
GH,5,-2,3,5,2.9
GI,6,5,8,3,5.7
GM,0,-4,2,6,-1.2
GN,1,-2,2,4,0.1
GQ,4,0,2,2,2.8
GR,2,-2,2,4,0.8
GT,0,-12,1,13,-3.6
GU,3,-7,8,15,-0.0
GW,1,-5,1,6,-0.8
GY,6,4,5,1,5.4
HK,3,-1,3,4,1.8
HN,1,-2,2,4,0.1
HR,6,-4,6,10,3.0
HT,3,-3,7,10,1.2
HU,10,4,6,2,8.2
ID,9,7,8,1,8.4
IE,9,6,9,3,8.1
IL,4,1,3,2,3.1
IN,4,-4,4,8,1.6
IQ,4,-7,3,10,0.7
IR,11,9,12,3,10.4
IS,2,-4,3,7,0.2
IT,10,4,5,1,8.2
JM,7,-1,4,5,4.6
JO,1,-8,5,13,-1.7
JP,13,7,9,2,11.2
KE,8,7,9,2,7.7
KG,2,-4,2,6,0.2
KH,6,6,6,0,6.0
KM,4,0,1,1,2.8
KN,3,-2,4,6,1.5
KO,6,2,8,6,4.8
KR,9,5,8,3,7.8
KW,1,0,2,2,0.7
KY,4,-2,3,5,2.2
KZ,7,1,5,4,5.2
LA,3,1,1,0,2.4
LB,0,-2,0,2,-0.6
LC,0,-5,1,6,-1.5
LI,3,-6,2,8,0.3
LK,6,5,7,2,5.7
LR,4,0,5,5,2.8
LS,5,-3,3,6,2.6
LT,4,-1,3,4,2.5
LU,9,5,6,1,7.8
LV,7,1,3,2,5.2
LY,2,0,2,2,1.4
MA,11,7,11,4,9.8
MD,2,-3,5,8,0.5
ME,7,2,7,5,5.5
MF,6,5,6,1,5.7
MG,4,-1,6,7,2.5
ML,1,-2,0,2,0.1
MM,9,3,11,8,7.2
MN,0,-6,0,6,-1.8
MO,0,-9,1,10,-2.7
MQ,1,-1,2,3,0.4
MR,4,0,3,3,2.8
MT,3,-4,3,7,0.9
MU,2,0,0,0,1.4
MV,3,-3,2,5,1.2
MW,1,-2,1,3,0.1
MX,15,11,12,1,13.8
MY,0,-2,1,3,-0.6
MZ,0,-4,1,5,-1.2
NC,0,-1,0,1,-0.3
NE,2,-2,1,3,0.8
NG,8,4,10,6,6.8
NI,1,-6,1,7,-1.1
NL,8,4,10,6,6.8
NM,2,-8,0,8,-1.0
NO,11,6,11,5,9.5
NP,0,-1,0,1,-0.3
NZ,4,-4,7,11,1.6
OM,3,0,4,4,2.1
PA,4,-4,7,11,1.6
PE,4,-3,5,8,1.9
PH,7,8,11,3,7.3
PK,9,6,8,2,8.1
PL,4,-2,6,8,2.2
PR,6,3,6,3,5.1
PS,2,0,0,0,1.4
PT,13,9,12,3,11.8
PY,9,2,8,6,6.9
QA,2,-9,2,11,-1.3
RO,4,-2,3,5,2.2
RS,3,-9,3,12,-0.6
RU,10,7,9,2,9.1
RW,6,6,6,0,6.0
SA,5,-2,5,7,2.9
SB,0,-10,4,14,-3.0
SC,1,-1,1,2,0.4
SE,7,-1,12,13,4.6
SG,6,4,6,2,5.4
SI,4,-1,5,6,2.5
SK,7,2,9,7,5.5
SL,4,-1,3,4,2.5
SM,1,-3,3,6,-0.2
SN,4,-2,8,10,2.2
SO,2,0,0,0,1.4
SQ,9,4,9,5,7.5
SR,0,-1,1,2,-0.3
SS,3,3,4,1,3.0
ST,0,-4,0,4,-1.2
SV,5,0,3,3,3.5
SW,0,-3,1,4,-0.9
SX,4,1,3,2,3.1
SY,3,1,6,5,2.4
TD,0,-8,0,8,-2.4
TG,8,5,9,4,7.1
TH,5,1,4,3,3.8
TJ,5,2,5,3,4.1
TL,6,4,7,3,5.4
TM,0,-1,1,2,-0.3
TN,1,-14,1,15,-3.5
TR,9,3,7,4,7.2
TT,1,-14,3,17,-3.5
TW,0,-2,1,3,-0.6
TZ,3,5,6,1,3.6
UA,6,0,5,5,4.2
US,9,3,10,7,7.2
UY,4,0,4,4,2.8
UZ,1,-10,2,12,-2.3
VC,3,-1,4,5,1.8
VE,7,4,7,3,6.1
VG,7,2,7,5,5.5
VI,3,1,5,4,2.4
VN,6,5,6,1,5.7
VU,4,1,4,3,3.1
WA,3,-1,4,5,1.8
YE,3,2,2,0,2.7
ZA,6,-1,3,4,3.9
ZM,0,-5,0,5,-1.5
ZW,6,2,4,2,4.8
