match_date,team_1_name,team_2_name,team_1_rating,team_2_rating,team_1_win_expectancy,team_1_form_score,team_2_form_score,form_score_difference,draw_probability
Round of 32,Czechia,Switzerland,1680,1914,0.206,4.6,9.8,-5.2,0.08
Round of 32,Ecuador,Sweden,1864,1727,0.688,6.5,4.6,1.9,0.112
Round of 32,Japan,Morocco,1925,1877,0.569,11.2,9.8,1.4,0.231
Round of 32,Brazil,Netherlands,2009,1972,0.553,12.4,6.8,5.6,0.247
Round of 32,France,Iran,2090,1766,0.866,10.8,10.4,0.4,0.08
Round of 32,Germany,Norway,1954,1951,0.504,14.4,9.5,4.9,0.25
Round of 32,Mexico,Senegal,1952,1817,0.685,13.8,2.2,11.6,0.115
Round of 32,Croatia,DR Congo,1896,1666,0.79,3.0,3.2,-0.2,0.08
Round of 32,United States,Bosnia and Herzegovina,1860,1622,0.797,7.2,3.9,3.3,0.08
Round of 32,Belgium,South Korea,1869,1723,0.699,8.4,7.8,0.6,0.101
Round of 32,Portugal,England,1988,2028,0.443,11.8,8.5,3.3,0.243
Round of 32,Spain,Algeria,2134,1780,0.885,8.1,7.9,0.2,0.08
Round of 32,Canada,Algeria,1788,1780,0.512,7.7,7.9,-0.2,0.25
Round of 32,Argentina,Uruguay,2144,1851,0.844,15.0,2.8,12.2,0.08
Round of 32,Colombia,Ghana,2006,1584,0.919,9.9,2.9,7.0,0.08
Round of 32,Turkey,Iran,1813,1766,0.567,7.2,10.4,-3.2,0.233
