year,month,day,team_1_code,team_2_code,team_1_goals,team_2_goals,tournament_code,host_code,team_1_rating_change,team_1_rating,team_2_rating,team_1_rank_change,team_2_rank_change,team_1_rank,team_2_rank,match_date,extracted_at,source
2026,6,24,BA,QA,3,1,WC,US,26,1622,1411,+5,−7,59,99,2026-06-24,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,24,BR,SQ,3,0,WC,US,23,2009,1745,+2,−1,5,33,2026-06-24,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,24,CA,CH,1,2,WC,,-29,1748,1914,−3,+2,32,12,2026-06-24,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,24,MX,CZ,3,0,WC,,16,1912,1680,−1,−2,13,49,2026-06-24,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,24,MA,HT,4,2,WC,US,11,1877,1517,+3,−3,15,81,2026-06-24,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,24,ZA,KR,1,0,WC,MX,48,1575,1723,+9,−9,70,40,2026-06-24,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,23,CO,CD,1,0,WC,MX,8,2006,1666,0,−1,5,53,2026-06-23,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,23,HR,PA,1,0,WC,CA,15,1896,1668,+2,−2,12,51,2026-06-23,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,23,EN,GH,0,0,WC,US,-27,2028,1584,0,+3,4,69,2026-06-23,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,23,PT,UZ,5,0,WC,US,21,1988,1677,+2,−3,6,50,2026-06-23,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,22,DZ,JO,2,1,WC,US,21,1780,1632,+7,−2,27,57,2026-06-22,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,22,AR,AT,2,0,WC,US,16,2144,1841,+1,−1,1,21,2026-06-22,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,22,FR,IQ,3,0,WC,US,6,2090,1586,0,−2,3,68,2026-06-22,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,22,NO,SN,3,2,WC,US,22,1951,1817,0,−1,10,23,2026-06-22,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,21,BE,IR,0,0,WC,US,-10,1869,1766,0,+1,15,33,2026-06-21,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,21,CV,UY,2,2,WC,US,19,1625,1851,+4,−5,58,21,2026-06-21,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,21,EG,NZ,3,1,WC,CA,29,1740,1549,+6,−4,36,73,2026-06-21,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,21,ES,SA,4,0,WC,US,5,2134,1593,0,−1,1,65,2026-06-21,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,20,CW,EC,0,0,WC,US,26,1453,1864,+5,−7,89,20,2026-06-20,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,20,DE,CI,2,1,WC,CA,15,1954,1728,0,−1,9,38,2026-06-20,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,20,JP,TN,4,0,WC,MX,15,1925,1570,0,−1,11,70,2026-06-20,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,20,NL,SE,5,1,WC,US,28,1972,1727,+1,−4,7,39,2026-06-20,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,19,BR,HT,3,0,WC,US,8,1986,1528,0,−2,6,78,2026-06-19,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,19,MA,SQ,1,0,WC,US,26,1866,1768,+2,−6,20,31,2026-06-19,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,19,PY,TR,1,0,WC,US,36,1816,1813,+2,−4,24,25,2026-06-19,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,19,US,AU,2,0,WC,,40,1820,1799,+3,−3,23,26,2026-06-19,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,18,CA,QA,6,0,WC,,10,1777,1437,+2,−1,29,91,2026-06-18,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,18,CZ,ZA,1,1,WC,US,-16,1696,1527,−6,+2,48,79,2026-06-18,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,18,MX,KR,1,0,WC,,15,1896,1771,+1,−5,12,31,2026-06-18,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,18,CH,BA,4,1,WC,US,20,1885,1596,+5,−6,14,65,2026-06-18,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,17,CO,UZ,3,1,WC,MX,16,1998,1698,+1,−6,5,48,2026-06-17,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,17,CD,PT,1,1,WC,US,22,1674,1967,+3,−2,52,7,2026-06-17,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,17,EN,HR,4,2,WC,US,31,2055,1881,0,−2,4,13,2026-06-17,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,17,GH,PA,1,0,WC,CA,47,1557,1683,+8,−9,73,49,2026-06-17,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,16,AR,DZ,3,0,WC,US,13,2128,1759,0,−3,2,33,2026-06-16,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,16,AT,JO,3,1,WC,US,27,1857,1653,+4,−2,20,54,2026-06-16,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,16,FR,SN,3,1,WC,US,21,2084,1839,0,−3,3,23,2026-06-16,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,16,NO,IQ,4,1,WC,US,15,1929,1592,0,−3,10,66,2026-06-16,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,15,BE,EG,1,1,WC,US,-15,1879,1711,−2,+4,15,45,2026-06-15,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,15,CV,ES,0,0,WC,US,28,1606,2129,+4,0,64,1,2026-06-15,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,15,IR,NZ,2,2,WC,US,-16,1756,1578,−4,+2,34,70,2026-06-15,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,15,SA,UY,1,1,WC,US,22,1598,1870,+3,−2,66,16,2026-06-15,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,14,DE,CW,7,1,WC,US,7,1939,1427,+1,−2,9,94,2026-06-14,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,14,CI,EC,1,0,WC,US,48,1743,1890,+12,−6,37,15,2026-06-14,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,14,JP,NL,2,2,WC,US,4,1910,1944,+1,0,12,8,2026-06-14,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,14,SE,TN,5,1,WC,MX,43,1755,1585,+7,−9,35,67,2026-06-14,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,13,AU,TR,2,0,WC,CA,62,1839,1849,+6,−8,23,21,2026-06-13,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,13,BR,MA,1,1,WC,US,-13,1978,1840,−2,+1,7,22,2026-06-13,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,13,QA,CH,1,1,WC,US,26,1447,1865,+6,−2,90,19,2026-06-13,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,13,SQ,HT,1,0,WC,US,12,1794,1536,0,−2,25,75,2026-06-13,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,12,CA,BA,1,1,WC,,-21,1767,1616,−8,+5,33,60,2026-06-12,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,12,US,PY,4,1,WC,,54,1780,1780,+12,−4,26,26,2026-06-12,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,11,MX,ZA,2,0,WC,,6,1881,1511,0,0,18,80,2026-06-11,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,11,KR,CZ,2,1,WC,MX,28,1786,1712,+7,−7,26,42,2026-06-11,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,10,PK,AF,2,0,DJB,MV,29,909,961,+5,−5,197,192,2026-06-10,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,10,DZ,BO,4,0,F,US,12,1772,1621,+3,−1,29,59,2026-06-10,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,10,EN,CR,3,0,F,US,3,2024,1608,0,0,4,62,2026-06-10,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
2026,6,10,PT,NG,2,1,F,,3,1989,1767,0,−1,6,32,2026-06-10,2026-06-25T12:40:11,https://www.eloratings.net/latest.tsv
